product_name,product_price,product_capacity,product_image,product_link,category
Glenfiddich 15 Year Old ,"₦32,300.00",70CL,https://www.cellarcentral.ng/image/cache/catalog/Whiskey/GLENFIDDICH/glenfiddich%2015%20yrs-450x450.jpg,https://www.cellarcentral.ng/spirits/glenfiddich-15-year-old,spirit
Glenfiddich 18 Year Old ,"₦51,000.00",70CL,https://www.cellarcentral.ng/image/cache/catalog/Whiskey/GLENFIDDICH/glenfiddich%2018yrs-450x450.jpg,https://www.cellarcentral.ng/spirits/glenfiddich-18-year-old,spirit
Glenfiddich 21 Year Old ,"₦141,400.00",70CL,https://www.cellarcentral.ng/image/cache/catalog/Whiskey/Glenfiddich-21-years-450x450.png,https://www.cellarcentral.ng/spirits?product_id=456,spirit
Glenfiddich 26 Year Old ,"₦500,000.00",75cl,https://www.cellarcentral.ng/image/cache/catalog/Whiskey/glenfiddich-grand-couronne_with_box-450x450.jpg,https://www.cellarcentral.ng/spirits?product_id=747,spirit
Glenfiddich Grand Cru 23 Year Old ,"₦269,000.00",70CL,https://www.cellarcentral.ng/image/cache/catalog/Cognac/glenfiddich-grand-cru-bottle-box_1-450x450.jpg,https://www.cellarcentral.ng/spirits?product_id=577,spirit
Glenmorangie 18 YO ,"₦68,000.00",75CL,https://www.cellarcentral.ng/image/cache/catalog/Whiskey/Glenmorangie-18-450x450.png,https://www.cellarcentral.ng/spirits/glenmorangie-18-yo-75cl,spirit
Glenmorangie La Santa Single Malt Whisky ,"₦24,100.00",75CL,https://www.cellarcentral.ng/image/cache/catalog/Whiskey/GLENMORANGIE/glenmorangie-lasanta-12-450x450.jpg,https://www.cellarcentral.ng/spirits/glenmorangie-product,spirit
Glenmorangie NectarD'OR ,"₦36,900.00",75CL,https://www.cellarcentral.ng/image/cache/catalog/Whiskey/Glenmorangie-Nectar-DOr-450x450.png,https://www.cellarcentral.ng/spirits?product_id=457,spirit
Glenmorangie Original ,"₦21,400.00",70CL,https://www.cellarcentral.ng/image/cache/catalog/Whiskey/Glenmorangie-original-450x450.png,https://www.cellarcentral.ng/spirits/glenmorangie-original-70cl,spirit
Glenmorangie Signet Gift Box ,"₦149,000.00",70cl,https://www.cellarcentral.ng/image/cache/catalog/Whiskey/GLENMORANGIE/Glenmorangie-TheSign3-450x450.png,https://www.cellarcentral.ng/spirits?product_id=803,spirit
Hendrick's Gin ,"₦20,000.00",75CL,https://www.cellarcentral.ng/image/cache/catalog/Gin/MIN_114637_EAA-450x450.jpg,https://www.cellarcentral.ng/spirits/hendericks-gin-75cl,spirit
Hennessy VS ,"₦14,500.00",35CL,https://www.cellarcentral.ng/image/cache/catalog/Cognac/hennessy-vs-small-bottle-450x450.png,https://www.cellarcentral.ng/spirits?product_id=571,spirit
Hennessy VS ,"₦29,000.00",70CL,https://www.cellarcentral.ng/image/cache/catalog/Cognac/Hennessy-VerySpecial-70-450x450.png,https://www.cellarcentral.ng/spirits/hennessy-vs-product,spirit
Hennessy VSOP ,"₦46,750.00",70CL,https://www.cellarcentral.ng/image/cache/catalog/Cognac/Hennessy-VSOP-450x450.png,https://www.cellarcentral.ng/spirits/hennessy-vsop-product,spirit
Hennessy XO ,"₦180,400.00",75CL,https://www.cellarcentral.ng/image/cache/catalog/Cognac/Hennessy-XO-450x450.png,https://www.cellarcentral.ng/spirits/hennessy-xo-product,spirit
Jack Daniels Old No.7 ,"₦11,700.00",75CL,https://www.cellarcentral.ng/image/cache/catalog/American%20Whiskey/Jack-Daniels-Old-No.-7-450x450.jpg,https://www.cellarcentral.ng/spirits/jack-daniels-old-no-7,spirit
Jameson whiskey ,"₦10,000.00",70CL,https://www.cellarcentral.ng/image/cache/catalog/Whiskey/JAMESON/Jameson-WhiskY-450x450.png,https://www.cellarcentral.ng/spirits/jameson-whiskey,spirit
Joe Got A Gun Tennessee Whisky ,"₦9,200.00",75cl,https://www.cellarcentral.ng/image/cache/catalog/Whiskey/JOE%20GOT%20A%20GUN/JOE-GOT-A-GUN-STRAIGHT-BARRELPF-450x450.jpg,https://www.cellarcentral.ng/spirits?product_id=817,spirit
Johnnie Walker Black Label ,"₦14,000.00",70CL,https://www.cellarcentral.ng/image/cache/catalog/product_31d1063_johnniewalkerblacklabelwhisky-450x450.jpg,https://www.cellarcentral.ng/spirits/johnnie-walker-black-label-1l,spirit
Jura 10 Year Old ,"₦19,500.00",70cl,https://www.cellarcentral.ng/image/cache/catalog/Whiskey/JURA/jura-10yo-bottlebox-450x450.png,https://www.cellarcentral.ng/spirits?product_id=917,spirit
Jura 12 Year Old ,"₦22,000.00",70cl,https://www.cellarcentral.ng/image/cache/catalog/Whiskey/JURA/jura-12yo-bottlebox-us-450x450.png,https://www.cellarcentral.ng/spirits?product_id=880,spirit
Jura 21 Year Old ,"₦126,900.00",70CL,https://www.cellarcentral.ng/image/cache/catalog/American%20Whiskey/isle-of-jura-21yo-single-malt-whisky-450x450.jpg,https://www.cellarcentral.ng/spirits?product_id=551,spirit
Label 5 Scotch Whisky 18 years,"₦26,600.00",,https://www.cellarcentral.ng/image/cache/catalog/Whiskey/LABEL%205/label-5%2018years-450x450.png,https://www.cellarcentral.ng/spirits/label-5-18-years,spirit
