spirit_name,spirit_price,spirit_vol,spirit_image,spirit_product_link
Smirnoff Red Label ,"₦7,500.00",1L,https://www.cellarcentral.ng/image/cache/catalog/Vodka/a897833cda4f66049536b8ca86af4458-450x450.jpg,https://www.cellarcentral.ng/spirits/smirnoff-vodka-red-label
Tamnavulin Double Cask ,"₦20,000.00",70cl,https://www.cellarcentral.ng/image/cache/catalog/Whiskey/TAMNAVULIN/Small-Tamnavulin_DC_CutOut_CartonAndBottle-450x450.png,https://www.cellarcentral.ng/spirits?product_id=831
Tesseron Lot 90 XO Ovation ,"₦41,000.00",70CL,https://www.cellarcentral.ng/image/cache/catalog/Cognac/tes%2090-450x450.jpg,https://www.cellarcentral.ng/spirits?product_id=621
The Famous Grouse ,₦900.00,20cl,https://www.cellarcentral.ng/image/cache/catalog/Whiskey/THE%20FAMOUS%20GROUSE/famous-grouse-200ml-450x450.png,https://www.cellarcentral.ng/spirits?product_id=879
The Famous Grouse Smoky Black ,"₦7,200.00",70cl,https://www.cellarcentral.ng/image/cache/catalog/Whiskey/THE%20FAMOUS%20GROUSE/2018-smoky-black-bottle-shot-700ml-transparent-bg-png-450x450.png,https://www.cellarcentral.ng/spirits?product_id=835
The Macallan Double Cask 15 Years Old ,"₦66,400.00",70cl,https://www.cellarcentral.ng/image/cache/catalog/Whiskey/MAC2019_15YO_Double_Cask_Bottle-450x450.png,https://www.cellarcentral.ng/spirits?product_id=725
The Macallan Double Cask 18 Years Old ,"₦161,400.00",70cl,https://www.cellarcentral.ng/image/cache/catalog/Whiskey/MAC2019_18YO_Double_Cask_Bottle-450x450.png,https://www.cellarcentral.ng/spirits?product_id=726
The Macallan Rare Cask Whisky,"₦153,600.00",,https://www.cellarcentral.ng/image/cache/catalog/Whiskey/THE%20MACALLAN/macallan-rare-cask-2021-release-p9396-15437_image-450x450.jpg,https://www.cellarcentral.ng/spirits/macallan-rare-cask-whisky
The Macallan Triple Cask Matured 12 Years ,"₦31,200.00",70cl,https://www.cellarcentral.ng/image/cache/catalog/Whiskey/THE%20MACALLAN/macallan%20triple%20cask%2012%20yrs-450x450.jpg,https://www.cellarcentral.ng/spirits?product_id=876
The Moor Aphro Palm Spirit ,"₦24,000.00",75CL,https://www.cellarcentral.ng/image/cache/catalog/Ghanaian%20Spirit/the%20moor-450x450.png,https://www.cellarcentral.ng/spirits?product_id=733
The Nubi Aphro Palm Spirit ,"₦24,000.00",75CL,https://www.cellarcentral.ng/image/cache/catalog/Ghanaian%20Spirit/the%20nube-450x450.png,https://www.cellarcentral.ng/spirits?product_id=734
The Observatory Whisky 20 years ,"₦20,150.00",70cl,https://www.cellarcentral.ng/image/cache/catalog/Whiskey/the%20observatory%20whisky-450x450.jpg,https://www.cellarcentral.ng/spirits?product_id=751
Volcan Blanco ,"₦32,600.00", 70CL,https://www.cellarcentral.ng/image/cache/catalog/Tequila/VOLCAN-PROMO-1-450x450.jpg,https://www.cellarcentral.ng/spirits?product_id=612
Volcan Cristallino ,"₦53,000.00",75cl,https://www.cellarcentral.ng/image/cache/catalog/Tequila/VOLCAN-PROMO-2-450x450.jpg,https://www.cellarcentral.ng/spirits?product_id=597
WILLIAM LAWSON'S™ Finest Blend ,"₦5,300.00",75cl,https://www.cellarcentral.ng/image/cache/catalog/Whiskey/WILLIAM%20LAWSON'S/WILLIAM-LAWSONS-BOTTLE-SHOT-450x450.png,https://www.cellarcentral.ng/spirits?product_id=767
